 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\json\decoder.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1563109889.6637728
 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\email\feedparser.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1563109888.4810915
 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\nturl2path.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\DLLs\_socket.pyd first seen with mtime 1544507696.0
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1563109889.522645
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1563109889.6417534
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\corsheaders\checks.py first seen with mtime 1565517957.9633474
 [DEBUG] 2019-08-12 22:34:26,459 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1563109889.5416622
